試合日,チーム,相手チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2020-01-11,日立リヴァーレ,KUROBEアクアフェアリーズ,1,,上坂瑠子,1,nan,nan,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,1,0,-25.0,1,1,0,100.0,0
2020-01-11,日立リヴァーレ,KUROBEアクアフェアリーズ,2,,小野寺友香,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2020-01-11,日立リヴァーレ,KUROBEアクアフェアリーズ,3,,堀井有蘭,2,nan,nan,□,□,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,4,2,0,50.0,0
2020-01-11,日立リヴァーレ,KUROBEアクアフェアリーズ,4,,窪田美侑,4,■,■,■,■,nan,15,4,4,26.7,0.0,1.00,0,0,0,-,0,-,29,2,0,7,12.9,17,8,3,55.9,6
2020-01-11,日立リヴァーレ,KUROBEアクアフェアリーズ,5,,タップハンナ,4,■,■,■,■,nan,23,13,0,56.5,56.5,3.25,0,0,0,-,7,1.75,7,0,2,0,-7.1,0,0,0,-,20
2020-01-11,日立リヴァーレ,KUROBEアクアフェアリーズ,6,,芳賀舞波,4,■,■,■,■,nan,10,4,1,40.0,30.0,1.00,0,0,0,-,1,0.25,23,2,1,10,18.5,0,0,0,-,7
2020-01-11,日立リヴァーレ,KUROBEアクアフェアリーズ,7,,齋藤加奈子,1,nan,□,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2020-01-11,日立リヴァーレ,KUROBEアクアフェアリーズ,8,,佐藤美弥,4,■,■,■,■,nan,2,2,0,100.0,100.0,0.50,0,0,0,-,2,0.50,9,0,1,2,2.8,0,0,0,-,4
2020-01-11,日立リヴァーレ,KUROBEアクアフェアリーズ,9,,渡邊久惠,4,■,■,■,■,nan,39,18,2,46.2,41.0,4.50,12,4,0,33.3,2,0.50,7,0,1,0,-3.6,0,0,0,-,20
2020-01-11,日立リヴァーレ,KUROBEアクアフェアリーズ,10,L,小池杏菜,4,●,●,●,●,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,10,5,2,60.0,0
2020-01-11,日立リヴァーレ,KUROBEアクアフェアリーズ,13,,長内美和子,4,■,■,■,■,nan,48,14,3,29.2,22.9,3.50,5,1,1,20.0,1,0.25,19,1,3,2,3.9,23,7,7,45.7,16
2020-01-11,日立リヴァーレ,KUROBEアクアフェアリーズ,14,,入澤まい,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2020-01-11,日立リヴァーレ,KUROBEアクアフェアリーズ,15,,土井さくら,1,nan,nan,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,2,1,0,0,50.0,0,0,0,-,1
2020-01-11,日立リヴァーレ,KUROBEアクアフェアリーズ,17,,オクム大庭冬美ハウィ,1,nan,nan,nan,□,nan,6,1,1,16.7,0.0,1.00,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,1
2020-01-11,日立リヴァーレ,KUROBEアクアフェアリーズ,チーム合計,チーム合計,チーム合計,4,nan,nan,nan,nan,nan,143,56,11,39.2,31.5,14.00,17,5,1,29.4,13,3.25,97,6,9,21,9.3,55,23,12,52.7,75
