試合日,チーム,相手チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2019-04-07,パナソニックパンサーズ,JTサンダーズ,1,,清水邦広,2,nan,□,□,nan,nan,3,2,1,66.7,33.3,1.00,0,0,0,-,1,0.50,0,0,0,0,-,0,0,0,-,3
2019-04-07,パナソニックパンサーズ,JTサンダーズ,2,,深津英臣,5,■,■,■,■,■,2,1,0,50.0,50.0,0.20,0,0,0,-,1,0.20,22,0,0,8,9.1,0,0,0,-,2
2019-04-07,パナソニックパンサーズ,JTサンダーズ,3,,山添信也,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2019-04-07,パナソニックパンサーズ,JTサンダーズ,4,,大竹壱青,5,■,■,■,■,■,41,17,3,41.5,34.1,3.40,15,6,3,40.0,2,0.40,20,3,4,5,16.2,0,0,0,-,22
2019-04-07,パナソニックパンサーズ,JTサンダーズ,5,,渡辺奏吾,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2019-04-07,パナソニックパンサーズ,JTサンダーズ,6,,白澤健児,5,■,■,■,■,■,7,4,0,57.1,57.1,0.80,0,0,0,-,4,0.80,14,1,3,1,3.6,1,0,1,50.0,9
2019-04-07,パナソニックパンサーズ,JTサンダーズ,7,,久原翼,5,■,■,■,■,■,26,12,3,46.2,34.6,2.40,5,3,1,60.0,1,0.20,22,2,0,15,26.1,19,12,3,71.1,15
2019-04-07,パナソニックパンサーズ,JTサンダーズ,9,,今村貴彦,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2019-04-07,パナソニックパンサーズ,JTサンダーズ,10,,山内晶大,5,■,■,■,■,■,11,6,0,54.5,54.5,1.20,0,0,0,-,3,0.60,15,0,1,4,5.0,0,0,0,-,9
2019-04-07,パナソニックパンサーズ,JTサンダーズ,13,,クビアクミハウ,5,■,■,■,■,■,41,14,6,34.1,19.5,2.80,6,3,2,50.0,1,0.20,19,2,2,8,18.4,50,24,12,60.0,17
2019-04-07,パナソニックパンサーズ,JTサンダーズ,15,,福澤達哉,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2019-04-07,パナソニックパンサーズ,JTサンダーズ,17,L,永野健,5,●,●,●,●,●,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,20,9,4,55.0,0
2019-04-07,パナソニックパンサーズ,JTサンダーズ,19,,陳建禎,4,□,□,nan,□,□,2,2,0,100.0,100.0,0.50,0,0,0,-,0,-,0,0,0,0,-,2,1,0,50.0,2
2019-04-07,パナソニックパンサーズ,JTサンダーズ,20,,新貴裕,2,nan,□,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-,0
2019-04-07,パナソニックパンサーズ,JTサンダーズ,チーム合計,チーム合計,チーム合計,5,nan,nan,nan,nan,nan,133,58,13,43.6,33.8,11.60,26,12,6,46.2,13,2.60,113,8,10,41,13.9,92,46,20,60.9,79
