試合日,チーム,相手チーム,得セット,失セット,勝敗,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2015-11-21,近畿クラブスフィーダ,奈良ドリーマーズ,3,1,1,2,,梶野喜宏,4,■,■,■,■,nan,2,1,0,50.0,50.0,0.25,0,0,0,-,2,0.50,16,0,0,2,3.1,0,0,0,-,3
2015-11-21,近畿クラブスフィーダ,奈良ドリーマーズ,3,1,1,3,,河戸俊亮,4,■,■,■,■,nan,12,5,2,41.7,25.0,1.25,0,0,0,-,4,1.00,7,0,0,3,10.7,0,0,0,-,9
2015-11-21,近畿クラブスフィーダ,奈良ドリーマーズ,3,1,1,4,L,山田翔太,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2015-11-21,近畿クラブスフィーダ,奈良ドリーマーズ,3,1,1,7,,石田康祐,3,□,□,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,3,0,1,0,0.0,0,0,0,-,0
2015-11-21,近畿クラブスフィーダ,奈良ドリーマーズ,3,1,1,9,,本多駿,4,■,■,■,■,nan,40,24,2,60.0,55.0,6.00,5,4,0,80.0,4,1.00,14,1,5,1,7.5,41,29,0,70.7,29
2015-11-21,近畿クラブスフィーダ,奈良ドリーマーズ,3,1,1,10,,繁田康平,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2015-11-21,近畿クラブスフィーダ,奈良ドリーマーズ,3,1,1,11,,片渕貴史,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2015-11-21,近畿クラブスフィーダ,奈良ドリーマーズ,3,1,1,18,L,有薗亮平,4,●,●,●,●,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,27,14,0,51.9,0
2015-11-21,近畿クラブスフィーダ,奈良ドリーマーズ,3,1,1,20,,北村將,4,■,■,■,■,nan,21,9,1,42.9,38.1,2.25,0,0,0,-,0,-,16,1,1,1,6.6,12,10,0,83.3,10
2015-11-21,近畿クラブスフィーダ,奈良ドリーマーズ,3,1,1,22,,川口喬,4,■,■,■,■,nan,10,7,1,70.0,60.0,1.75,0,0,0,-,3,0.75,13,0,2,1,1.9,0,0,0,-,10
2015-11-21,近畿クラブスフィーダ,奈良ドリーマーズ,3,1,1,24,,小林空,4,■,■,■,■,nan,25,11,3,44.0,32.0,2.75,9,4,1,44.4,2,0.50,23,2,4,5,13.3,0,0,0,-,15
2015-11-21,近畿クラブスフィーダ,奈良ドリーマーズ,3,1,1,27,,田中絢人,4,□,□,□,□,nan,0,0,0,,,-,0,0,0,-,0,-,5,0,1,2,10.0,0,0,0,-,0
2015-11-21,近畿クラブスフィーダ,奈良ドリーマーズ,3,1,1,チーム合計,チーム合計,チーム合計,4,nan,nan,nan,nan,nan,110,57,9,51.8,43.6,14.25,14,8,1,57.1,15,3.75,97,4,14,15,7.4,80,53,0,66.2,76
