試合日,チーム,相手チーム,得セット,失セット,勝敗,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2015-11-22,近畿クラブスフィーダ,東京トヨペットグリーンスパークル,1,3,0,2,,梶野喜宏,4,■,■,■,■,nan,2,1,0,50.0,50.0,0.25,0,0,0,-,0,-,16,0,0,5,7.8,0,0,0,-,1
2015-11-22,近畿クラブスフィーダ,東京トヨペットグリーンスパークル,1,3,0,3,,河戸俊亮,4,■,■,■,■,nan,8,5,0,62.5,62.5,1.25,0,0,0,-,4,1.00,11,0,1,4,9.1,1,0,0,0.0,9
2015-11-22,近畿クラブスフィーダ,東京トヨペットグリーンスパークル,1,3,0,4,L,山田翔太,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2015-11-22,近畿クラブスフィーダ,東京トヨペットグリーンスパークル,1,3,0,7,,石田康祐,1,□,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,2,0,0,0,0.0,0,0,0,-,0
2015-11-22,近畿クラブスフィーダ,東京トヨペットグリーンスパークル,1,3,0,9,,本多駿,4,■,■,■,■,nan,35,14,5,40.0,25.7,3.50,3,1,1,33.3,2,0.50,14,2,3,4,20.0,47,36,0,76.6,18
2015-11-22,近畿クラブスフィーダ,東京トヨペットグリーンスパークル,1,3,0,10,,繁田康平,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2015-11-22,近畿クラブスフィーダ,東京トヨペットグリーンスパークル,1,3,0,11,,片渕貴史,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2015-11-22,近畿クラブスフィーダ,東京トヨペットグリーンスパークル,1,3,0,18,L,有薗亮平,4,●,●,●,●,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,17,9,0,52.9,0
2015-11-22,近畿クラブスフィーダ,東京トヨペットグリーンスパークル,1,3,0,20,,北村將,4,■,■,■,■,nan,28,13,2,46.4,39.3,3.25,0,0,0,-,0,-,19,0,0,3,3.9,19,11,0,57.9,13
2015-11-22,近畿クラブスフィーダ,東京トヨペットグリーンスパークル,1,3,0,22,,川口喬,4,■,■,■,■,nan,10,6,1,60.0,50.0,1.50,0,0,0,-,1,0.25,14,1,2,3,11.1,0,0,0,-,8
2015-11-22,近畿クラブスフィーダ,東京トヨペットグリーンスパークル,1,3,0,24,,小林空,4,■,■,■,■,nan,30,12,4,40.0,26.7,3.00,4,0,0,0.0,2,0.50,15,2,4,6,22.0,1,1,0,100.0,16
2015-11-22,近畿クラブスフィーダ,東京トヨペットグリーンスパークル,1,3,0,27,,田中絢人,1,□,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,1,0,0.0,0,0,0,-,0
2015-11-22,近畿クラブスフィーダ,東京トヨペットグリーンスパークル,1,3,0,チーム合計,チーム合計,チーム合計,4,nan,nan,nan,nan,nan,113,51,12,45.1,34.5,12.75,7,1,1,14.3,9,2.25,92,5,11,25,11.6,85,57,0,67.1,65
