試合日,チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
2019-11-02,警視庁フォートファイターズ,1,,小川貴大,2,nan,□,□,nan,nan,2,2,0,1.0,1.0,1.00,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-
2019-11-02,警視庁フォートファイターズ,2,,伊藤裕之介,4,■,■,■,■,nan,1,0,0,0.0,0.0,-,0,0,0,-,0,-,19,2,0,4,15.8,0,0,0,-
2019-11-02,警視庁フォートファイターズ,3,,水野貴文,1,nan,nan,nan,□,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2019-11-02,警視庁フォートファイターズ,4,,加藤啓,4,■,■,■,■,nan,6,3,0,0.5,0.5,0.75,0,0,0,-,5,1.25,16,1,3,5,9.4,0,0,0,-
2019-11-02,警視庁フォートファイターズ,5,,大野隆一,4,■,■,■,■,nan,11,4,2,0.36363636363636365,0.18181818181818182,1.00,0,0,0,-,2,0.50,10,0,0,2,5.0,1,1,0,100.0
2019-11-02,警視庁フォートファイターズ,6,,松本幸博,2,nan,nan,□,■,nan,7,4,0,0.5714285714285714,0.5714285714285714,2.00,0,0,0,-,1,0.50,5,0,0,0,0.0,6,3,2,66.7
2019-11-02,警視庁フォートファイターズ,10,,豊田将人,3,■,■,■,nan,nan,13,3,1,0.23076923076923078,0.15384615384615385,1.00,0,0,0,-,0,-,10,0,0,3,7.5,7,2,1,35.7
2019-11-02,警視庁フォートファイターズ,13,,中村航太朗,4,■,■,■,■,nan,36,20,2,0.5555555555555556,0.5,5.00,6,3,1,50.0,1,0.25,17,0,2,0,-2.9,30,17,8,70.0
2019-11-02,警視庁フォートファイターズ,14,,中道元貴,1,nan,nan,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-
2019-11-02,警視庁フォートファイターズ,15,,河西敦司,4,■,■,■,■,nan,39,18,1,0.46153846153846156,0.4358974358974359,4.50,15,4,1,26.7,0,-,13,0,1,1,0.0,0,0,0,-
2019-11-02,警視庁フォートファイターズ,16,,金子優海,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2019-11-02,警視庁フォートファイターズ,18,L,吉澤玄祐,4,●,●,●,●,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,23,13,2,60.9
2019-11-02,警視庁フォートファイターズ,19,,神谷昴紀,1,nan,□,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,0,0,0.0,2,0,1,25.0
