大会,チーム,出場,出場,アタック,アタック,アタック,アタック,バックアタック,バックアタック,バックアタック,バックアタック,アタック決定本数,ブロック,ブロック,サーブ,サーブ,サーブ,サーブ,サーブ,サーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,総得点,総得点,総得点,総得点
大会,チーム,試合数,セット数,打数,得点,失点,決定率,打数,得点,失点,決定率,セット平均,得点,セット平均,打数,ノータッチ,エース,失点,効果,効果率,受数,成功・優,成功・良,成功率,アタック,ブロック,サーブ,得点合計
2019-20 V.LEAGUE DIVISION1 MEN,東レアローズ,56,19,46,23,4,50.0,0,0,0,-,1.21,12,0.63,46,0,3,12,19,10.3,1,0,1,50.0,23,12,3,38
レギュラーラウンド,パナソニックパンサーズ,27,19,46,23,4,50.0,0,0,0,-,1.21,12,0.63,46,0,3,12,19,10.3,1,0,1,50.0,23,12,3,38
ファイナル,パナソニックパンサーズ,1,0,0,0,0,-,0,0,0,-,-,0,-,0,0,0,0,0,-,0,0,0,-,0,0,0,0
V.LEAGUE DIVISION1 MEN 2018-19,東レアローズ,22,11,22,11,2,50.0,0,0,0,-,1.00,4,0.36,45,0,1,7,14,6.1,1,1,0,100.0,11,4,1,16
レギュラーラウンド,パナソニックパンサーズ,11,11,22,11,2,50.0,0,0,0,-,1.00,4,0.36,45,0,1,7,14,6.1,1,1,0,100.0,11,4,1,16
Ｖ・プレミアリーグ男子 2017/18,東レアローズ,6,2,2,1,0,50.0,0,0,0,-,0.50,0,-,2,0,0,0,0,0.0,0,0,0,-,1,0,0,1
レギュラーラウンド,東レアローズ,6,2,2,1,0,50.0,0,0,0,-,0.50,0,-,2,0,0,0,0,0.0,0,0,0,-,1,0,0,1
Ｖ・プレミアリーグ男子 2016/17,東レアローズ,16,13,14,9,1,64.3,0,0,0,-,0.69,5,0.38,23,0,1,6,9,13.3,1,1,0,100.0,9,5,1,15
レギュラーラウンド,東レアローズ,11,11,14,9,1,64.3,0,0,0,-,0.82,5,0.45,22,0,1,5,9,13.9,1,1,0,100.0,9,5,1,15
ファイナル６,東レアローズ,5,2,0,0,0,-,0,0,0,-,-,0,-,1,0,0,1,0,0.0,0,0,0,-,0,0,0,0
天皇杯全日本選手権大会,,2,4,0,0,0,-,0,0,0,-,-,0,-,4,0,0,3,1,6.2,0,0,0,-,0,0,0,0
レギュラーラウンド,,2,4,0,0,0,-,0,0,0,-,-,0,-,4,0,0,3,1,6.2,0,0,0,-,0,0,0,0
Ｖ・プレミアリーグ男子 2015/16,東レアローズ,17,3,0,0,0,-,0,0,0,-,-,0,-,0,0,0,0,0,-,0,0,0,-,0,0,0,0
レギュラーラウンド,東レアローズ,17,3,0,0,0,-,0,0,0,-,-,0,-,0,0,0,0,0,-,0,0,0,-,0,0,0,0
レギュラーシーズン通算,,72,46,84,44,7,52.4,0,0,0,-,0.96,21,0.46,115,0,5,24,42,8.3,3,2,1,83.3,44,21,5,70
通算,,119,52,84,44,7,52.4,0,0,0,-,0.85,21,0.40,120,0,5,28,43,7.3,3,2,1,83.3,44,21,5,70
