試合日,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
2019-11-23,2,,言上真一,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2019-11-23,3,,壇上正健,2,,,□,■,,4,0,0,0.0,0.0,-,0,0,0,-,0,-,1,0,1,0,-25.0,0,0,0,-
2019-11-23,4,,下町浩二,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2019-11-23,5,L,小寺秀哉,5,●,●,●,●,●,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2019-11-23,7,,有津翔太,5,■,■,■,■,■,25,13,3,0.52,0.4,2.60,0,0,0,-,1,0.20,16,0,2,2,0.0,0,0,0,-
2019-11-23,9,,高橋和希,5,■,■,■,■,■,3,1,0,0.3333333333333333,0.3333333333333333,0.20,0,0,0,-,1,0.20,19,0,1,2,1.3,0,0,0,-
2019-11-23,11,,後藤和志,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2019-11-23,12,,川村幸司,5,■,■,■,■,■,30,15,2,0.5,0.43333333333333335,3.00,3,1,0,33.3,1,0.20,17,0,1,5,5.9,22,7,4,40.9
2019-11-23,14,,杉谷祐磨,1,,□,,,,0,0,0,,,-,0,0,0,-,0,-,1,0,1,0,-25.0,0,0,0,-
2019-11-23,15,,上竣,5,■,■,■,■,■,36,21,2,0.5833333333333334,0.5277777777777778,4.20,15,10,2,66.7,0,-,17,1,7,3,0.0,1,0,0,0.0
2019-11-23,16,,片野坂拓人,5,■,■,■,■,■,39,21,7,0.5384615384615384,0.358974358974359,4.20,9,2,3,22.2,1,0.20,18,0,3,3,0.0,37,27,2,75.7
2019-11-23,17,,碩幸輝,5,■,■,■,□,■,9,2,0,0.2222222222222222,0.2222222222222222,0.40,0,0,0,-,1,0.20,15,0,1,3,3.3,0,0,0,-
2019-11-23,18,,南本大貴,1,,,,□,,0,0,0,,,-,0,0,0,-,0,-,3,0,0,0,0.0,0,0,0,-
2019-11-23,19,L,石渡瑛法,5,〇,〇,〇,〇,〇,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,20,12,4,70.0
2019-11-23,チーム合計,チーム合計,チーム合計,5,,,,,,146,73,14,0.5,0.4041095890410959,14.60,27,13,5,48.1,5,1.00,107,1,17,18,1.2,80,46,10,63.7
