名前,年月,チーム,背番号,月,出場数,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
エバンドログエッラ,2015-03,サントリーサンバーズ,7,3,4,0.0,53,29,4,54.7,47.2,29,18,2,3,21,5,6,2,0,0,0,37,62.1,7.25,0.75,19.0,
オムルチェンイゴール,2015-03,豊田合成トレフェルサ,15,3,4,0.0,56,31,3,55.4,50.0,23,13,3,3,20,2,5,11,0,0,0,36,56.5,7.75,0.75,17.5,
井上崇昭,2015-03,豊田合成トレフェルサ,8,3,3,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
傳田亮太,2015-03,豊田合成トレフェルサ,22,3,4,0.0,11,5,1,45.5,36.4,0,0,0,1,16,1,2,4,0,0,0,7,,1.25,0.25,9.4,
内山正平,2015-03,豊田合成トレフェルサ,4,3,4,0.0,0,0,0,,,0,0,0,2,10,0,1,1,0,0,0,2,,0.0,0.5,0.0,
前田一誠,2015-03,豊田合成トレフェルサ,5,3,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
古賀太一郎,2015-03,豊田合成トレフェルサ,19,3,3,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
古賀幸一郎,2015-03,豊田合成トレフェルサ,10,3,4,0.0,0,0,0,,,0,0,0,0,0,0,0,0,31,27,0,0,,0.0,0.0,,87.1
塩田達也,2015-03,サントリーサンバーズ,12,3,3,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
山村宏太,2015-03,サントリーサンバーズ,1,3,4,0.0,8,4,0,50.0,50.0,0,0,0,4,14,0,2,3,0,0,0,8,,1.0,1.0,1.8,
山田脩造,2015-03,豊田合成トレフェルサ,1,3,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
山近哲,2015-03,豊田合成トレフェルサ,2,3,2,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
岡本祥吾,2015-03,サントリーサンバーズ,6,3,2,0.0,0,0,0,,,0,0,0,0,5,0,1,1,1,1,0,0,,0.0,0.0,0.0,100.0
岡本秀明,2015-03,豊田合成トレフェルサ,13,3,2,0.0,0,0,0,,,0,0,0,0,2,0,0,1,0,0,0,0,,0.0,0.0,12.5,
松崎廣光,2015-03,サントリーサンバーズ,21,3,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
柳田将洋,2015-03,サントリーサンバーズ,13,3,1,0.0,0,0,0,,,0,0,0,0,1,0,1,0,0,0,0,0,,0.0,0.0,-25.0,
柴小屋康行,2015-03,サントリーサンバーズ,5,3,1,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
栗山雅史,2015-03,サントリーサンバーズ,19,3,4,0.0,25,14,2,56.0,48.0,3,2,0,1,16,1,3,6,21,10,0,16,66.7,3.5,0.25,10.9,47.6
椿山竜介,2015-03,サントリーサンバーズ,14,3,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
白岩直也,2015-03,豊田合成トレフェルサ,7,3,4,0.0,11,4,1,36.4,27.3,0,0,0,1,15,1,3,3,31,21,0,6,,1.0,0.25,6.7,67.7
米山達也,2015-03,サントリーサンバーズ,20,3,4,0.0,0,0,0,,,0,0,0,0,5,1,1,0,0,0,0,1,,0.0,0.0,15.0,
近裕崇,2015-03,豊田合成トレフェルサ,6,3,4,0.0,17,8,1,47.1,41.2,0,0,0,0,18,0,3,3,0,0,0,8,,2.0,0.0,0.0,
金子隆行,2015-03,サントリーサンバーズ,8,3,4,0.0,8,2,0,25.0,25.0,0,0,0,1,14,0,1,2,31,21,0,3,,0.5,0.25,1.8,67.7
鈴木寛史,2015-03,サントリーサンバーズ,2,3,4,0.0,8,6,0,75.0,75.0,0,0,0,1,16,1,0,2,0,0,0,8,,1.5,0.25,9.4,
阿部裕太,2015-03,サントリーサンバーズ,9,3,3,0.0,1,1,0,100.0,100.0,0,0,0,0,7,0,0,0,0,0,0,1,,0.33,0.0,0.0,
高松卓矢,2015-03,豊田合成トレフェルサ,12,3,4,0.0,22,12,1,54.5,50.0,1,0,0,2,15,0,4,4,18,12,0,14,0.0,3.0,0.5,0.0,66.7
鶴田大樹,2015-03,サントリーサンバーズ,11,3,4,0.0,0,0,0,,,0,0,0,0,0,0,0,0,23,15,0,0,,0.0,0.0,,65.2
黒澤雄介,2015-03,豊田合成トレフェルサ,16,3,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
