試合日,チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
2017-11-18,近畿クラブスフィーダ,1,,山本映樹,4,■,■,■,■,nan,20,10,0,0.5,0.5,2.50,1,0,0,0.0,2,0.50,14,2,4,4,14.3,0,0,0,-
2017-11-18,近畿クラブスフィーダ,2,,梶野喜宏,1,nan,nan,nan,□,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-
2017-11-18,近畿クラブスフィーダ,3,,河戸俊亮,4,■,■,■,■,nan,14,9,1,0.6428571428571429,0.5714285714285714,2.25,0,0,0,-,2,0.50,15,1,1,8,18.3,0,0,0,-
2017-11-18,近畿クラブスフィーダ,4,,北村將,4,□,□,■,■,nan,16,9,1,0.5625,0.5,2.25,0,0,0,-,0,-,13,1,0,4,15.4,28,9,10,50.0
2017-11-18,近畿クラブスフィーダ,6,,柿木秀人,4,□,□,□,□,nan,0,0,0,,,-,0,0,0,-,0,-,6,1,1,3,25.0,0,0,0,-
2017-11-18,近畿クラブスフィーダ,7,,石田康祐,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2017-11-18,近畿クラブスフィーダ,9,,本多駿,4,■,■,■,■,nan,50,19,6,0.38,0.26,4.75,8,4,2,50.0,3,0.75,18,0,0,8,11.1,4,2,0,50.0
2017-11-18,近畿クラブスフィーダ,11,,桑原瑠星,4,■,■,□,□,nan,14,5,0,0.35714285714285715,0.35714285714285715,1.25,0,0,0,-,0,-,7,0,3,4,3.6,25,7,7,42.0
2017-11-18,近畿クラブスフィーダ,12,,中田雄大,4,■,■,■,■,nan,0,0,0,,,-,0,0,0,-,1,0.25,15,0,1,6,8.3,0,0,0,-
2017-11-18,近畿クラブスフィーダ,14,L,有薗亮平,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2017-11-18,近畿クラブスフィーダ,16,L,大原悠,4,●,●,●,●,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,19,11,5,71.1
2017-11-18,近畿クラブスフィーダ,18,,岩本雄喜,4,■,■,■,■,nan,14,5,1,0.35714285714285715,0.2857142857142857,1.25,0,0,0,-,0,-,11,1,1,2,11.4,0,0,0,-
2017-11-18,近畿クラブスフィーダ,チーム合計,チーム合計,チーム合計,4,nan,nan,nan,nan,nan,128,57,9,0.4453125,0.375,14.25,9,4,2,44.4,8,2.00,100,6,11,39,13.0,76,29,22,52.6
2017-11-18,兵庫デルフィーノ,2,,白川佑樹,4,■,■,■,■,nan,35,6,2,0.17142857142857143,0.11428571428571428,1.50,4,1,0,25.0,1,0.25,13,1,1,2,9.6,6,1,0,16.7
