大会,チーム,出場,出場,アタック,アタック,アタック,アタック,バックアタック,バックアタック,バックアタック,バックアタック,アタック決定本数,ブロック,ブロック,サーブ,サーブ,サーブ,サーブ,サーブ,サーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,総得点,総得点,総得点,総得点
大会,チーム,試合数,セット数,打数,得点,失点,決定率,打数,得点,失点,決定率,セット平均,得点,セット平均,打数,ノータッチ,エース,失点,効果,効果率,受数,成功・優,成功・良,成功率,アタック,ブロック,サーブ,得点合計
2019-20 V.LEAGUE DIVISION1 MEN,堺ブレイザーズ,18,30,62,37,1,59.7,0,0,0,-,1.23,16,0.53,77,0,1,7,14,3.6,3,0,0,0.0,37,16,1,54
レギュラーラウンド,堺ブレイザーズ,17,30,62,37,1,59.7,0,0,0,-,1.23,16,0.53,77,0,1,7,14,3.6,3,0,0,0.0,37,16,1,54
GAME1（5位決定戦）,堺ブレイザーズ,1,0,0,0,0,-,0,0,0,-,-,0,-,0,0,0,0,0,-,0,0,0,-,0,0,0,0
V.LEAGUE DIVISION1 MEN 2018-19,堺ブレイザーズ,28,62,55,23,1,41.8,0,0,0,-,0.37,26,0.42,156,3,3,14,41,8.2,4,1,2,50.0,23,26,6,55
レギュラーラウンド,堺ブレイザーズ,23,52,51,21,1,41.2,0,0,0,-,0.40,25,0.48,145,3,3,12,36,8.3,4,1,2,50.0,21,25,6,52
ファイナル６,堺ブレイザーズ,5,10,4,2,0,50.0,0,0,0,-,0.20,1,0.10,11,0,0,2,5,6.8,0,0,0,-,2,1,0,3
Ｖ・プレミアリーグ男子 2017/18,堺ブレイザーズ,21,46,54,25,4,46.3,0,0,0,-,0.54,18,0.39,89,0,0,7,18,3.1,4,1,0,25.0,25,18,0,43
レギュラーラウンド,堺ブレイザーズ,21,46,54,25,4,46.3,0,0,0,-,0.54,18,0.39,89,0,0,7,18,3.1,4,1,0,25.0,25,18,0,43
レギュラーシーズン通算,,61,128,167,83,6,49.7,0,0,0,-,0.65,59,0.46,311,3,4,26,68,5.6,11,2,2,27.3,83,59,7,149
通算,,67,138,171,85,6,49.7,0,0,0,-,0.62,60,0.43,322,3,4,28,73,5.7,11,2,2,27.3,85,60,7,152
