試合日,チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
2015-10-17,久光製薬スプリングス,1,,長岡望悠,4,■,■,■,■,nan,47,21,1,0.44680851063829785,0.425531914893617,5.25,11,6,0,54.5,1,0.25,12,0,1,5,10.4,1,1,0,100.0
2015-10-17,久光製薬スプリングス,2,,古藤千鶴,4,■,■,■,■,nan,2,2,0,1.0,1.0,0.50,0,0,0,-,1,0.25,15,0,0,4,6.7,1,1,0,100.0
2015-10-17,久光製薬スプリングス,3,,新鍋理沙,4,■,■,■,■,nan,36,22,1,0.6111111111111112,0.5833333333333334,5.50,4,1,1,25.0,1,0.25,16,0,2,5,7.8,28,22,0,78.6
2015-10-17,久光製薬スプリングス,4,,岩坂名奈,4,■,■,■,■,nan,9,5,0,0.5555555555555556,0.5555555555555556,1.25,1,0,0,0.0,2,0.50,21,1,0,9,14.5,1,1,0,100.0
2015-10-17,久光製薬スプリングス,5,,水田祐未,4,■,■,■,■,nan,6,0,0,0.0,0.0,-,0,0,0,-,3,0.75,10,0,0,7,17.5,2,2,0,100.0
2015-10-17,久光製薬スプリングス,6,,石井優希,4,■,■,■,■,nan,45,17,3,0.37777777777777777,0.3111111111111111,4.25,1,1,0,100.0,2,0.50,15,0,2,6,10.0,31,16,0,51.6
2015-10-17,久光製薬スプリングス,7,,ボカンタチアナ,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2015-10-17,久光製薬スプリングス,8,,野本梨佳,2,□,nan,□,nan,nan,6,5,0,0.8333333333333334,0.8333333333333334,2.50,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2015-10-17,久光製薬スプリングス,10,L,座安琴希,4,●,●,●,●,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,18,12,0,66.7
2015-10-17,久光製薬スプリングス,17,,南波美紅,1,nan,nan,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,0,1,25.0,0,0,0,-
2015-10-17,久光製薬スプリングス,18,L,戸江真奈,4,〇,〇,〇,〇,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
