大会,チーム,出場,出場,アタック,アタック,アタック,アタック,バックアタック,バックアタック,バックアタック,バックアタック,アタック決定本数,ブロック,ブロック,サーブ,サーブ,サーブ,サーブ,サーブ,サーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,総得点,総得点,総得点,総得点
大会,チーム,試合数,セット数,打数,得点,失点,決定率,打数,得点,失点,決定率,セット平均,得点,セット平均,打数,ノータッチ,エース,失点,効果,効果率,受数,成功・優,成功・良,成功率,アタック,ブロック,サーブ,得点合計
2020-21 V.LEAGUE DIVISION1 MEN,サントリーサンバーズ,13,49,552,313,41,56.7,242,121,25,50.0,6.39,22,0.45,176,5,9,56,50,7.1,3,0,0,0.0,313,22,14,349
レギュラーラウンド,サントリーサンバーズ,13,49,552,313,41,56.7,242,121,25,50.0,6.39,22,0.45,176,5,9,56,50,7.1,3,0,0,0.0,313,22,14,349
2019-20 V.LEAGUE DIVISION1 MEN,サントリーサンバーズ,26,91,1026,570,73,55.6,406,240,33,59.1,6.26,52,0.57,342,19,18,101,101,10.8,6,0,1,8.3,570,52,37,659
レギュラーラウンド,サントリーサンバーズ,23,80,894,493,63,55.1,345,203,27,58.8,6.16,43,0.54,304,17,17,89,92,11.4,6,0,1,8.3,493,43,34,570
GAME1（5位決定戦）,サントリーサンバーズ,1,3,39,25,3,64.1,22,15,1,68.2,8.33,1,0.33,12,0,0,4,3,-2.1,0,0,0,-,25,1,0,26
GAME2（4位決定戦）,サントリーサンバーズ,1,4,43,23,3,53.5,14,8,1,57.1,5.75,6,1.5,10,0,1,2,3,12.5,0,0,0,-,23,6,1,30
セミファイナル（３位決定戦）,サントリーサンバーズ,1,4,50,29,4,58.0,25,14,4,56.0,7.25,2,0.5,16,2,0,6,3,7.8,0,0,0,-,29,2,2,33
V.LEAGUE DIVISION1 MEN 2018-19,サントリーサンバーズ,31,119,1303,774,97,59.4,501,278,56,55.5,6.5,46,0.39,474,20,24,125,183,12.3,15,2,5,30.0,774,46,44,864
レギュラーラウンド,サントリーサンバーズ,26,100,1096,660,83,60.2,428,235,49,54.9,6.6,41,0.41,393,14,21,105,152,11.9,11,0,5,22.7,660,41,35,736
ファイナル６,サントリーサンバーズ,5,19,207,114,14,55.1,73,43,7,58.9,6.0,5,0.26,81,6,3,20,31,14.5,4,2,0,50.0,114,5,9,128
レギュラーシーズン通算,,62,229,2542,1466,187,57.7,1015,559,101,55.1,6.4,106,0.46,873,36,47,250,294,10.8,20,0,6,15.0,1466,106,83,1655
通算,,70,259,2881,1657,211,57.5,1149,639,114,55.6,6.4,120,0.46,992,44,51,282,334,10.9,24,2,6,20.8,1657,120,95,1872
