試合日,チーム,相手チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2012-11-17,東レアローズ,パイオニアレッドウィングス,1,,荒木絵里香,5,■,■,■,■,■,24,12,1,50.0,45.8,2.40,0,0,0,-,7,1.40,14,1,0,9,23.2,0,0,0,-,20
2012-11-17,東レアローズ,パイオニアレッドウィングス,2,L,濱口華菜里,5,●,●,●,●,●,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,16,10,0,62.5,0
2012-11-17,東レアローズ,パイオニアレッドウィングス,3,,中道瞳,5,■,■,■,■,■,1,1,0,100.0,100.0,0.20,0,0,0,-,0,-,15,1,0,7,18.3,0,0,0,-,2
2012-11-17,東レアローズ,パイオニアレッドウィングス,4,,高田ありさ,4,□,□,□,□,nan,0,0,0,,,-,0,0,0,-,0,-,9,0,0,4,11.1,9,4,0,44.4,0
2012-11-17,東レアローズ,パイオニアレッドウィングス,5,,和田麻里江,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2012-11-17,東レアローズ,パイオニアレッドウィングス,6,,迫田さおり,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2012-11-17,東レアローズ,パイオニアレッドウィングス,7,,エンライトステファニー,5,■,■,■,■,■,49,18,4,36.7,28.6,3.60,8,1,1,12.5,1,0.20,22,0,3,10,11.4,26,17,0,65.4,19
2012-11-17,東レアローズ,パイオニアレッドウィングス,8,,宮田由佳里,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2012-11-17,東レアローズ,パイオニアレッドウィングス,9,,小平花織,4,nan,□,□,■,■,27,8,5,29.6,11.1,2.00,4,2,2,50.0,1,0.25,8,2,0,2,26.2,13,9,0,69.2,11
2012-11-17,東レアローズ,パイオニアレッドウィングス,10,,峯村沙紀,5,■,■,■,■,■,56,15,2,26.8,23.2,3.00,4,0,0,0.0,0,-,13,1,0,6,19.2,23,14,0,60.9,16
2012-11-17,東レアローズ,パイオニアレッドウィングス,11,,田代佳奈美,3,nan,□,□,nan,□,0,0,0,,,-,0,0,0,-,0,-,2,1,0,0,50.0,0,0,0,-,1
2012-11-17,東レアローズ,パイオニアレッドウィングス,12,L,木村美里,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,1,1,0,100.0,0
2012-11-17,東レアローズ,パイオニアレッドウィングス,13,,堀川真理,4,■,■,■,nan,□,15,4,2,26.7,13.3,1.00,2,0,0,0.0,1,0.25,6,0,0,3,12.5,1,0,0,0.0,5
2012-11-17,東レアローズ,パイオニアレッドウィングス,14,,二見梓,5,■,■,■,■,■,19,7,0,36.8,36.8,1.40,0,0,0,-,0,-,18,0,1,8,11.1,1,1,0,100.0,7
2012-11-17,東レアローズ,パイオニアレッドウィングス,チーム合計,チーム合計,チーム合計,5,nan,nan,nan,nan,nan,191,65,14,34.0,26.7,13.00,18,3,3,16.7,10,2.00,107,6,4,49,16.7,90,56,0,62.2,81
