試合日,チーム,相手チーム,得セット,失セット,勝敗,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点,被アタック打数,被アタック得点,被アタック失点,被アタック決定率,被ブロック得点,被ブロックセット平均,被サーブ効果率,被サーブレシーブ成功率
2007-01-06,岡山シーガルズ,日立リヴァーレ,3,2,1,2,,山口舞,5,■,■,■,■,■,26,9,2,34.6,26.9,1.80,0,0,0,-,1,0.20,20,1,0,10,16.5,10,7,0,70.0,11,,,,,,,,
2007-01-06,岡山シーガルズ,日立リヴァーレ,3,2,1,3,,米村信子,3,nan,□,■,□,nan,4,0,2,0.0,-50.0,-,0,0,0,-,0,-,2,0,0,0,0.0,2,2,0,100.0,0,,,,,,,,
2007-01-06,岡山シーガルズ,日立リヴァーレ,3,2,1,4,,野村まり,1,nan,nan,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0,,,,,,,,
2007-01-06,岡山シーガルズ,日立リヴァーレ,3,2,1,5,L,小野優美子,5,●,●,●,●,●,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,28,14,0,50.0,0,,,,,,,,
2007-01-06,岡山シーガルズ,日立リヴァーレ,3,2,1,6,,堀口夏実,1,nan,nan,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-,0,,,,,,,,
2007-01-06,岡山シーガルズ,日立リヴァーレ,3,2,1,7,,神田千絵,3,■,■,nan,□,nan,27,7,1,25.9,22.2,2.33,0,0,0,-,2,0.67,9,1,0,3,17.2,3,1,0,33.3,10,,,,,,,,
2007-01-06,岡山シーガルズ,日立リヴァーレ,3,2,1,12,,村田奈都美,4,nan,□,□,■,■,32,13,1,40.6,37.5,3.25,0,0,0,-,0,-,11,0,1,6,13.6,15,7,0,46.7,13,,,,,,,,
2007-01-06,岡山シーガルズ,日立リヴァーレ,3,2,1,13,,高松未,5,■,■,■,■,■,22,10,1,45.5,40.9,2.00,0,0,0,-,2,0.40,16,0,2,5,7.8,15,10,0,66.7,12,,,,,,,,
2007-01-06,岡山シーガルズ,日立リヴァーレ,3,2,1,15,,岡野弘子,4,■,■,nan,■,■,0,0,0,,,-,0,0,0,-,1,0.25,11,0,0,6,13.6,0,0,0,-,1,,,,,,,,
2007-01-06,岡山シーガルズ,日立リヴァーレ,3,2,1,21,,森和代,5,■,■,■,■,■,32,12,2,37.5,31.2,2.40,1,0,0,0.0,2,0.40,12,0,1,2,4.2,10,5,0,50.0,14,,,,,,,,
2007-01-06,岡山シーガルズ,日立リヴァーレ,3,2,1,33,,若浦貴子,5,■,■,■,■,■,53,18,6,34.0,22.6,3.60,0,0,0,-,4,0.80,12,0,0,2,4.2,6,4,0,66.7,22,,,,,,,,
2007-01-06,岡山シーガルズ,日立リヴァーレ,3,2,1,41,,小菅真弓,3,nan,□,■,□,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-,0,,,,,,,,
2007-01-06,岡山シーガルズ,日立リヴァーレ,3,2,1,チーム合計,チーム合計,チーム合計,5,nan,nan,nan,nan,nan,196,69,15,35.2,27.6,13.80,1,0,0,0.0,12,2.40,95,2,4,34,10.6,89,50,0,56.2,83,174,61,8,35.1,6,1.20,11.8,60.4
