名前,年月,チーム,背番号,月,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
トムローガン,2009-04,久光製薬スプリングス,11,12,11,123,30,9,24.4,17.1,20,3,3,5,49,5,3,14,68,44,0,40,15.0,2.73,0.45,15.8,64.7
フォフィーニャアナパウラ,2009-04,NECレッドロケッツ,5,12,12,170,50,12,29.4,22.4,15,4,2,10,35,1,1,11,70,44,0,61,26.7,4.17,0.83,10.0,62.9
ロンドンシンディ,2009-04,デンソーエアリービーズ,28,12,11,137,49,16,35.8,24.1,19,6,5,4,39,0,7,9,0,0,0,53,31.6,4.45,0.36,1.3,
三上彩,2009-04,久光製薬スプリングス,13,12,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
中村真美,2009-04,NECレッドロケッツ,7,12,4,0,0,0,,,0,0,0,0,0,0,0,0,8,3,0,0,,0.0,0.0,,37.5
中道瞳,2009-04,東レアローズ,6,12,14,4,2,0,50.0,50.0,1,0,0,1,54,2,0,17,0,0,0,5,0.0,0.14,0.07,11.6,
井上香織,2009-04,デンソーエアリービーズ,8,12,11,49,18,2,36.7,32.7,0,0,0,9,30,0,2,16,1,1,0,27,,1.64,0.82,11.7,100.0
仁木希,2009-04,久光製薬スプリングス,1,12,11,103,33,4,32.0,28.2,0,0,0,9,36,0,2,9,69,50,0,42,,3.0,0.82,4.9,72.5
佐藤美耶,2009-04,東レアローズ,11,12,1,0,0,0,,,0,0,0,0,1,0,1,0,0,0,0,0,,0.0,0.0,-25.0,
佐野優子,2009-04,久光製薬スプリングス,10,12,11,0,0,0,,,0,0,0,0,0,0,0,0,46,26,0,0,,0.0,0.0,,56.5
先野久美子,2009-04,久光製薬スプリングス,4,12,5,21,8,1,38.1,33.3,0,0,0,2,8,0,1,2,1,1,0,10,,1.6,0.4,3.1,100.0
内田暁子,2009-04,NECレッドロケッツ,11,12,9,6,3,0,50.0,50.0,0,0,0,0,9,0,0,3,2,1,0,3,,0.33,0.0,8.3,50.0
大山加奈,2009-04,東レアローズ,3,12,9,0,0,0,,,0,0,0,2,0,0,0,0,0,0,0,2,,0.0,0.22,,
大山未希,2009-04,東レアローズ,7,12,6,0,0,0,,,0,0,0,0,2,0,0,1,0,0,0,0,,0.0,0.0,12.5,
