大会,チーム,試合数,セット数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,バックアタック効果率,セット平均,ブロック得点,セット平均.1,サーブ打数,ノータッチ,エース,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,アタック,ブロック,サーブ,得点合計
2019-20 V.LEAGUE DIVISION1 MEN,JTサンダーズ広島,24,70,138,78,5,56.5,52.89855072463768,0,0,0,-,,1.11,26,0.37,169,0,3,14,25,3.4,21,8,5,50.0,78,26,3,107
レギュラーラウンド,JTサンダーズ広島,23,67,130,77,5,59.2,55.38461538461539,0,0,0,-,,1.15,26,0.39,163,0,3,13,24,3.5,19,7,5,50.0,77,26,3,106
GAME2（4位決定戦）,JTサンダーズ広島,1,3,8,1,0,12.5,12.5,0,0,0,-,,0.33,0,-,6,0,0,1,1,0.0,2,1,0,50.0,1,0,0,1
V.LEAGUE DIVISION1 MEN 2018-19,JTサンダーズ,36,110,233,143,8,61.4,57.93991416309014,0,0,0,-,,1.30,57,0.52,283,1,2,15,56,4.7,18,6,7,52.8,143,57,3,203
レギュラーラウンド,JTサンダーズ,27,73,153,93,6,60.8,56.86274509803921,0,0,0,-,,1.27,33,0.45,187,1,1,14,40,4.5,14,6,5,60.7,93,33,2,128
ファイナル６,JTサンダーズ,5,20,46,27,2,58.7,54.347826086956516,0,0,0,-,,1.35,11,0.55,49,0,0,1,8,3.6,4,0,2,25.0,27,11,0,38
ファイナル３,JTサンダーズ,2,9,18,10,0,55.6,55.55555555555556,0,0,0,-,,1.11,5,0.56,28,0,1,0,4,7.1,0,0,0,-,10,5,1,16
ファイナル,JTサンダーズ,2,8,16,13,0,81.2,81.25,0,0,0,-,,1.62,8,1.00,19,0,0,0,4,5.3,0,0,0,-,13,8,0,21
Ｖ・プレミアリーグ男子 2017/18,JTサンダーズ,8,8,11,6,1,54.5,45.45454545454545,0,0,0,-,,0.75,1,0.12,14,0,0,1,1,0.0,1,0,1,50.0,6,1,0,7
レギュラーラウンド,JTサンダーズ,8,8,11,6,1,54.5,45.45454545454545,0,0,0,-,,0.75,1,0.12,14,0,0,1,1,0.0,1,0,1,50.0,6,1,0,7
Ｖ・プレミアリーグ男子 2016/17,JTサンダーズ,19,39,72,42,3,58.3,54.166666666666664,0,0,0,-,,1.08,10,0.26,91,1,0,14,12,4.4,0,0,0,-,42,10,1,53
レギュラーラウンド,JTサンダーズ,19,39,72,42,3,58.3,54.166666666666664,0,0,0,-,,1.08,10,0.26,91,1,0,14,12,4.4,0,0,0,-,42,10,1,53
チャレンジマッチ男子2016/17,JTサンダーズ,2,2,0,0,0,-,,0,0,0,-,,-,2,1.00,5,0,0,0,1,5.0,0,0,0,-,0,2,0,2
チャレンジマッチ,JTサンダーズ,2,2,0,0,0,-,,0,0,0,-,,-,2,1.00,5,0,0,0,1,5.0,0,0,0,-,0,2,0,2
Ｖ・プレミアリーグ男子 2015/16,JTサンダーズ,26,80,130,69,5,53.1,49.23076923076923,1,0,0,0.0,0.0,0.86,35,0.44,204,5,2,49,43,8.5,10,3,0,30.0,69,35,7,111
レギュラーラウンド,JTサンダーズ,21,63,102,54,5,52.9,48.03921568627451,1,0,0,0.0,0.0,0.86,29,0.46,155,4,2,39,24,7.5,5,2,0,40.0,54,29,6,89
ファイナル６,JTサンダーズ,5,17,28,15,0,53.6,53.57142857142857,0,0,0,-,,0.88,6,0.35,49,1,0,10,19,11.7,5,1,0,20.0,15,6,1,22
日韓V.LEAGUE TOP MATCH 男子2015,,1,1,0,0,0,-,,0,0,0,-,,-,0,-,2,0,0,1,0,0.0,0,0,0,-,0,0,0,0
日韓V.LEAGUE TOP MATCH,,1,1,0,0,0,-,,0,0,0,-,,-,0,-,2,0,0,1,0,0.0,0,0,0,-,0,0,0,0
Ｖ・プレミアリーグ男子 2014/15,JTサンダーズ,23,21,41,15,2,36.6,31.70731707317073,0,0,0,-,,0.71,12,0.57,43,0,0,13,6,3.5,2,0,0,0.0,15,12,0,27
レギュラーラウンド,JTサンダーズ,17,11,22,8,2,36.4,27.27272727272727,0,0,0,-,,0.73,5,0.45,21,0,0,6,4,4.8,2,0,0,0.0,8,5,0,13
ファイナル６,JTサンダーズ,5,10,19,7,0,36.8,36.84210526315789,0,0,0,-,,0.70,7,0.70,22,0,0,7,2,2.3,0,0,0,-,7,7,0,14
ファイナル,JTサンダーズ,1,0,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,0,0,0,-,0,0,0,0
Ｖ・プレミアリーグ男子 2013/14,JTサンダーズ,29,95,167,89,10,53.3,47.30538922155689,1,0,0,0.0,0.0,0.94,50,0.53,249,4,6,51,53,8.9,2,0,0,0.0,89,50,10,149
レギュラーラウンド,JTサンダーズ,26,82,147,80,7,54.4,49.65986394557823,1,0,0,0.0,0.0,0.98,44,0.54,216,4,6,43,45,9.3,2,0,0,0.0,80,44,10,134
セミファイナルラウンド,JTサンダーズ,2,8,11,5,2,45.5,27.27272727272727,0,0,0,-,,0.62,2,0.25,23,0,0,7,5,5.4,0,0,0,-,5,2,0,7
ファイナルラウンド,JTサンダーズ,1,5,9,4,1,44.4,33.33333333333333,0,0,0,-,,0.80,4,0.80,10,0,0,1,3,7.5,0,0,0,-,4,4,0,8
Ｖ・プレミアリーグ男子 2012/13,JTサンダーズ,25,78,195,97,10,49.7,44.61538461538462,1,0,0,0.0,0.0,1.24,45,0.58,228,3,1,7,58,8.0,16,6,0,37.5,97,45,4,146
レギュラーラウンド,JTサンダーズ,25,78,195,97,10,49.7,44.61538461538462,1,0,0,0.0,0.0,1.24,45,0.58,228,3,1,7,58,8.0,16,6,0,37.5,97,45,4,146
レギュラーシーズン通算,,166,421,832,457,39,54.9,50.24038461538461,3,0,0,0.0,0.0,1.09,193,0.46,1075,13,13,137,208,4.1,59,21,11,44.9,457,193,26,676
通算,,193,504,987,539,44,54.6,50.15197568389058,3,0,0,0.0,0.0,1.07,238,0.47,1288,14,14,165,255,3.9,70,23,13,42.1,539,238,28,805
