試合日,チーム,相手チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2007-04-14,パナソニックパンサーズ,豊田合成トレフェルサ,1,,岸本一馬,2,nan,nan,■,■,nan,7,5,1,71.4,57.1,2.50,0,0,0,-,3,1.50,6,0,1,4,16.7,17,9,0,52.9,8
2007-04-14,パナソニックパンサーズ,豊田合成トレフェルサ,2,,宇佐美大輔,4,■,■,■,■,nan,2,2,0,100.0,100.0,0.50,0,0,0,-,0,-,14,0,2,3,5.4,0,0,0,-,2
2007-04-14,パナソニックパンサーズ,豊田合成トレフェルサ,4,,今井啓介,4,■,■,■,■,nan,13,7,0,53.8,53.8,1.75,0,0,0,-,4,1.00,11,0,1,4,9.1,1,1,0,100.0,11
2007-04-14,パナソニックパンサーズ,豊田合成トレフェルサ,5,,山本隆弘,4,■,■,■,■,nan,34,19,4,55.9,44.1,4.75,11,5,3,45.5,1,0.25,14,1,5,4,12.9,1,0,0,0.0,21
2007-04-14,パナソニックパンサーズ,豊田合成トレフェルサ,6,L,小糸敬夫,4,●,●,●,●,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,15,10,0,66.7,0
2007-04-14,パナソニックパンサーズ,豊田合成トレフェルサ,7,,岩田正之,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2007-04-14,パナソニックパンサーズ,豊田合成トレフェルサ,8,,川村慎二,4,■,■,□,□,nan,5,1,0,20.0,20.0,0.25,0,0,0,-,0,-,9,0,2,0,0.0,26,22,0,84.6,1
2007-04-14,パナソニックパンサーズ,豊田合成トレフェルサ,11,,久保尚志,4,□,□,□,□,nan,0,0,0,,,-,0,0,0,-,0,-,5,0,2,2,10.0,0,0,0,-,0
2007-04-14,パナソニックパンサーズ,豊田合成トレフェルサ,12,,森田亜貴斗,4,■,■,■,■,nan,15,7,1,46.7,40.0,1.75,0,0,0,-,1,0.25,20,0,1,3,3.8,3,2,0,66.7,8
2007-04-14,パナソニックパンサーズ,豊田合成トレフェルサ,13,,枩田優介,1,nan,□,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2007-04-14,パナソニックパンサーズ,豊田合成トレフェルサ,15,,松永理生,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2007-04-14,パナソニックパンサーズ,豊田合成トレフェルサ,17,,ソトへクター,4,■,■,■,■,nan,32,19,1,59.4,56.2,4.75,5,4,1,80.0,0,-,18,0,4,9,12.5,16,10,0,62.5,19
2007-04-14,パナソニックパンサーズ,豊田合成トレフェルサ,チーム合計,チーム合計,チーム合計,4,nan,nan,nan,nan,nan,108,60,7,55.6,49.1,15.00,16,9,4,56.2,9,2.25,97,1,18,29,8.3,79,54,0,68.4,70
