試合日,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
2020-01-31,1,,迫田郭志,3,■,■,■,,,17,7,1,0.4117647058823529,0.35294117647058826,2.33,2,0,0,0.0,0,-,9,0,3,1,-5.6,27,11,6,51.9
2020-01-31,3,L,橘裕也,3,●,●,●,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2020-01-31,4,,山田要平,3,□,□,□,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2020-01-31,5,,井上仁,3,■,■,■,,,5,2,0,0.4,0.4,0.67,0,0,0,-,0,-,10,0,0,3,7.5,0,0,0,-
2020-01-31,6,,近江芳樹,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2020-01-31,8,,栗山英之,2,■,■,,,,2,2,0,1.0,1.0,1.00,0,0,0,-,0,-,6,0,2,2,0.0,1,0,0,0.0
2020-01-31,9,,手塚大,3,■,■,■,,,23,12,2,0.5217391304347826,0.43478260869565216,4.00,10,6,1,60.0,0,-,11,0,1,0,-2.3,1,0,1,50.0
2020-01-31,12,,小田嶋大貴,2,,□,■,,,3,1,0,0.3333333333333333,0.3333333333333333,0.50,0,0,0,-,0,-,5,1,1,0,15.0,0,0,0,-
2020-01-31,13,,柳町逸太,3,□,□,□,,,1,1,0,1.0,1.0,0.33,0,0,0,-,0,-,2,0,2,0,-25.0,0,0,0,-
2020-01-31,15,,谷口渉,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2020-01-31,16,,手原紳,3,■,■,■,,,0,0,0,,,-,0,0,0,-,0,-,5,0,0,0,0.0,0,0,0,-
2020-01-31,19,,佐藤望実,3,■,■,■,,,18,7,2,0.3888888888888889,0.2777777777777778,2.33,1,0,1,0.0,0,-,11,1,3,2,6.8,18,3,9,41.7
2020-01-31,23,L,小森郁己,3,〇,〇,〇,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,11,0,3,13.6
2020-01-31,24,,野瀬将平,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2020-01-31,チーム合計,チーム合計,チーム合計,3,,,,,,69,32,5,0.463768115942029,0.391304347826087,10.67,13,6,2,46.2,0,0.00,59,2,12,8,1.7,58,14,19,40.5
