試合日,チーム,相手チーム,得セット,失セット,勝敗,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点,被アタック打数,被アタック得点,被アタック失点,被アタック決定率,被ブロック得点,被ブロックセット平均,被サーブ効果率,被サーブレシーブ成功率
2019-10-12,PFUブルーキャッツ,KUROBEアクアフェアリーズ,3,1,1,2,,ドリスジェニファー,4,■,■,■,■,nan,23,8,2,34.8,26.1,2.00,0,0,0,-,2,0.50,15,0,1,3,3.3,0,0,0,-,10,,,,,,,,
2019-10-12,PFUブルーキャッツ,KUROBEアクアフェアリーズ,3,1,1,3,L,吉安遥,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0,,,,,,,,
2019-10-12,PFUブルーキャッツ,KUROBEアクアフェアリーズ,3,1,1,4,,宇田沙織,2,□,nan,nan,□,nan,0,0,0,,,-,0,0,0,-,0,-,3,0,1,0,-8.3,1,0,1,50.0,0,,,,,,,,
2019-10-12,PFUブルーキャッツ,KUROBEアクアフェアリーズ,3,1,1,5,,江畑幸子,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0,,,,,,,,
2019-10-12,PFUブルーキャッツ,KUROBEアクアフェアリーズ,3,1,1,6,,村上華澄,4,■,■,■,■,nan,15,8,1,53.3,46.7,2.00,0,0,0,-,0,-,16,1,1,6,14.1,1,0,0,0.0,9,,,,,,,,
2019-10-12,PFUブルーキャッツ,KUROBEアクアフェアリーズ,3,1,1,8,,高相みな実,2,□,nan,□,nan,nan,8,2,2,25.0,0.0,1.00,0,0,0,-,1,0.50,0,0,0,0,-,4,3,0,75.0,3,,,,,,,,
2019-10-12,PFUブルーキャッツ,KUROBEアクアフェアリーズ,3,1,1,9,,山下遥香,2,□,nan,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,3,0,1,1,0.0,0,0,0,-,0,,,,,,,,
2019-10-12,PFUブルーキャッツ,KUROBEアクアフェアリーズ,3,1,1,11,,堀口あやか,4,■,■,■,■,nan,42,13,0,31.0,31.0,3.25,3,0,0,0.0,0,-,14,0,0,3,5.4,30,11,9,51.7,13,,,,,,,,
2019-10-12,PFUブルーキャッツ,KUROBEアクアフェアリーズ,3,1,1,12,,清水眞衣,2,nan,nan,□,□,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0,,,,,,,,
2019-10-12,PFUブルーキャッツ,KUROBEアクアフェアリーズ,3,1,1,13,,津賀菜緒,4,■,■,■,■,nan,29,13,0,44.8,44.8,3.25,6,1,0,16.7,0,-,14,2,2,3,16.1,1,0,0,0.0,15,,,,,,,,
2019-10-12,PFUブルーキャッツ,KUROBEアクアフェアリーズ,3,1,1,14,,島畑奈緒子,4,■,■,■,■,nan,3,2,0,66.7,66.7,0.50,0,0,0,-,3,0.75,21,1,1,10,15.5,0,0,0,-,6,,,,,,,,
2019-10-12,PFUブルーキャッツ,KUROBEアクアフェアリーズ,3,1,1,17,L,筒井さやか,4,●,●,●,●,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,14,6,7,67.9,0,,,,,,,,
2019-10-12,PFUブルーキャッツ,KUROBEアクアフェアリーズ,3,1,1,19,,スークソッドタナッチャ,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0,,,,,,,,
2019-10-12,PFUブルーキャッツ,KUROBEアクアフェアリーズ,3,1,1,33,,和才奈々美,4,■,■,■,■,nan,21,8,0,38.1,38.1,2.00,0,0,0,-,2,0.50,11,0,1,3,4.5,18,7,8,61.1,10,,,,,,,,
2019-10-12,PFUブルーキャッツ,KUROBEアクアフェアリーズ,3,1,1,チーム合計,チーム合計,チーム合計,4,nan,nan,nan,nan,nan,141,54,5,38.3,34.8,13.50,9,1,0,11.1,8,2.00,97,4,8,29,9.5,69,27,25,57.2,66,142,51,13,35.9,8,2.00,3.1,46.6
