大会,チーム,出場,出場,アタック,アタック,アタック,アタック,バックアタック,バックアタック,バックアタック,バックアタック,アタック決定本数,ブロック,ブロック,サーブ,サーブ,サーブ,サーブ,サーブ,サーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,総得点,総得点,総得点,総得点
大会,チーム,試合数,セット数,打数,得点,失点,決定率,打数,得点,失点,決定率,セット平均,得点,セット平均,打数,ノータッチ,エース,失点,効果,効果率,受数,成功・優,成功・良,成功率,アタック,ブロック,サーブ,得点合計
2019-20 V.LEAGUE DIVISION1 MEN,VC長野トライデンツ,27,33,1,0,1,0.0,0,0,0,-,-,3,0.09,44,0,1,1,10,7.4,4,0,0,0.0,0,3,1,4
レギュラーラウンド,VC長野トライデンツ,27,33,1,0,1,0.0,0,0,0,-,-,3,0.09,44,0,1,1,10,7.4,4,0,0,0.0,0,3,1,4
V.LEAGUE DIVISION1 MEN 2018-19,VC長野トライデンツ,27,45,5,3,0,60.0,0,0,0,-,0.07,2,0.04,66,0,1,5,12,4.2,2,0,0,0.0,3,2,1,6
レギュラーラウンド,VC長野トライデンツ,27,45,5,3,0,60.0,0,0,0,-,0.07,2,0.04,66,0,1,5,12,4.2,2,0,0,0.0,3,2,1,6
Ｖ・チャレンジリーグⅠ男子 2017/18,VC長野トライデンツ,21,66,5,4,1,80.0,0,0,0,-,0.06,7,0.11,173,3,3,17,36,6.2,2,0,0,0.0,4,7,6,17
レギュラーラウンド,VC長野トライデンツ,21,66,5,4,1,80.0,0,0,0,-,0.06,7,0.11,173,3,3,17,36,6.2,2,0,0,0.0,4,7,6,17
Ｖ・チャレンジリーグⅠ男子 2016/17,VC長野トライデンツ,21,28,0,0,0,-,0,0,0,-,-,0,-,39,0,0,3,12,7.7,0,0,0,-,0,0,0,0
レギュラーラウンド,VC長野トライデンツ,21,28,0,0,0,-,0,0,0,-,-,0,-,39,0,0,3,12,7.7,0,0,0,-,0,0,0,0
Ｖ・チャレンジリーグⅡ男子 2015/16,VC長野トライデンツ,3,5,0,0,0,-,0,0,0,-,-,0,-,7,0,0,0,1,3.6,0,0,0,-,0,0,0,0
レギュラーラウンド,VC長野トライデンツ,3,5,0,0,0,-,0,0,0,-,-,0,-,7,0,0,0,1,3.6,0,0,0,-,0,0,0,0
レギュラーシーズン通算,,99,177,11,7,2,63.6,0,0,0,-,0.04,12,0.07,329,3,5,26,71,5.9,8,0,0,0.0,7,12,8,27
通算,,99,177,11,7,2,63.6,0,0,0,-,0.04,12,0.07,329,3,5,26,71,5.9,8,0,0,0.0,7,12,8,27
