大会,チーム,出場,出場,アタック,アタック,アタック,アタック,バックアタック,バックアタック,バックアタック,バックアタック,アタック決定本数,ブロック,ブロック,サーブ,サーブ,サーブ,サーブ,サーブ,サーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,総得点,総得点,総得点,総得点
大会,チーム,試合数,セット数,打数,得点,失点,決定率,打数,得点,失点,決定率,セット平均,得点,セット平均,打数,ノータッチ,エース,失点,効果,効果率,受数,成功・優,成功・良,成功率,アタック,ブロック,サーブ,得点合計
2019-20 V.LEAGUE DIVISION1 MEN,VC長野トライデンツ,26,90,0,0,0,-,0,0,0,-,-,0,-,0,0,0,0,0,-,447,194,140,59.1,0,0,0,0
レギュラーラウンド,VC長野トライデンツ,26,90,0,0,0,-,0,0,0,-,-,0,-,0,0,0,0,0,-,447,194,140,59.1,0,0,0,0
V.LEAGUE DIVISION1 MEN 2018-19,VC長野トライデンツ,27,86,0,0,0,-,0,0,0,-,-,0,-,0,0,0,0,0,-,446,179,117,53.3,0,0,0,0
レギュラーラウンド,VC長野トライデンツ,27,86,0,0,0,-,0,0,0,-,-,0,-,0,0,0,0,0,-,446,179,117,53.3,0,0,0,0
Ｖ・チャレンジリーグⅠ男子 2017/18,VC長野トライデンツ,21,82,0,0,0,-,0,0,0,-,-,0,-,0,0,0,0,0,-,306,138,89,59.6,0,0,0,0
レギュラーラウンド,VC長野トライデンツ,21,82,0,0,0,-,0,0,0,-,-,0,-,0,0,0,0,0,-,306,138,89,59.6,0,0,0,0
Ｖ・チャレンジリーグⅠ男子 2016/17,VC長野トライデンツ,6,1,0,0,0,-,0,0,0,-,-,0,-,0,0,0,0,0,-,4,1,0,25.0,0,0,0,0
レギュラーラウンド,VC長野トライデンツ,6,1,0,0,0,-,0,0,0,-,-,0,-,0,0,0,0,0,-,4,1,0,25.0,0,0,0,0
レギュラーシーズン通算,,80,259,0,0,0,-,0,0,0,-,-,0,-,0,0,0,0,0,-,1203,512,346,56.9,0,0,0,0
通算,,80,259,0,0,0,-,0,0,0,-,-,0,-,0,0,0,0,0,-,1203,512,346,56.9,0,0,0,0
