試合日,チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
2007-01-20,PFUブルーキャッツ,1,L,餅田千佳,3,●,●,●,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,15,12,0,80.0
2007-01-20,PFUブルーキャッツ,2,,松永真果,1,nan,nan,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2007-01-20,PFUブルーキャッツ,3,,カルボナリマリステラナオミ,3,■,■,■,nan,nan,16,7,2,0.4375,0.3125,2.33,2,1,0,50.0,0,-,7,0,1,1,3.6,10,5,0,50.0
2007-01-20,PFUブルーキャッツ,4,,時長真菜,1,□,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,3,1,0,1,41.7,0,0,0,-
2007-01-20,PFUブルーキャッツ,7,,大端みゆき,3,■,■,■,nan,nan,8,2,0,0.25,0.25,0.67,0,0,0,-,2,0.67,14,1,1,9,21.8,2,1,0,50.0
2007-01-20,PFUブルーキャッツ,8,,岡田友子,3,■,■,■,nan,nan,6,4,0,0.6666666666666666,0.6666666666666666,1.33,0,0,0,-,4,1.33,6,0,1,3,12.5,3,2,0,66.7
2007-01-20,PFUブルーキャッツ,9,,河合真希,2,□,nan,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,2,0,1,0,0.0,0,0,0,-
2007-01-20,PFUブルーキャッツ,10,,山田真里恵,1,nan,nan,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,2,0,0,1,12.5,0,0,0,-
2007-01-20,PFUブルーキャッツ,11,,石原亜希菜,3,■,■,■,nan,nan,16,11,1,0.6875,0.625,3.67,0,0,0,-,1,0.33,7,0,3,0,0.0,0,0,0,-
2007-01-20,PFUブルーキャッツ,12,,古藤千鶴,3,■,■,■,nan,nan,5,3,1,0.6,0.4,1.00,0,0,0,-,1,0.33,21,3,1,7,19.8,1,0,0,0.0
2007-01-20,PFUブルーキャッツ,15,,佐々木侑,3,■,■,■,nan,nan,24,15,3,0.625,0.5,5.00,0,0,0,-,2,0.67,12,3,4,3,29.6,5,4,0,80.0
2007-01-20,PFUブルーキャッツ,チーム合計,チーム合計,チーム合計,3,nan,nan,nan,nan,nan,75,42,7,0.56,0.4666666666666667,14.00,2,1,0,50.0,10,3.33,74,8,12,25,17.9,36,24,0,66.7
2007-01-20,Befcoビービースターズ,1,,高野優,3,■,■,■,nan,nan,2,0,0,0.0,0.0,-,0,0,0,-,0,-,8,0,1,1,3.1,0,0,0,-
2007-01-20,Befcoビービースターズ,2,,佐藤由香,3,■,■,■,nan,nan,18,4,1,0.2222222222222222,0.16666666666666666,1.33,0,0,0,-,2,0.67,10,0,0,2,5.0,7,2,0,28.6
2007-01-20,Befcoビービースターズ,3,,李妍,3,■,■,■,nan,nan,16,7,0,0.4375,0.4375,2.33,0,0,0,-,1,0.33,4,0,2,1,6.2,0,0,0,-
2007-01-20,Befcoビービースターズ,4,,遊佐理英子,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2007-01-20,Befcoビービースターズ,5,,藤原由加,3,■,■,■,nan,nan,7,2,0,0.2857142857142857,0.2857142857142857,0.67,0,0,0,-,0,-,6,1,3,1,20.8,12,6,0,50.0
2007-01-20,Befcoビービースターズ,6,,佐藤奈美,3,■,■,■,nan,nan,7,2,0,0.2857142857142857,0.2857142857142857,0.67,0,0,0,-,1,0.33,8,0,1,4,12.5,1,1,0,100.0
2007-01-20,Befcoビービースターズ,7,,角掛由貴,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2007-01-20,Befcoビービースターズ,8,L,渡辺エミ,3,●,●,●,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,27,12,0,44.4
2007-01-20,Befcoビービースターズ,9,,小野裕美子,3,■,■,■,nan,nan,16,3,2,0.1875,0.0625,1.00,0,0,0,-,0,-,8,0,0,3,9.4,11,7,0,63.6
2007-01-20,Befcoビービースターズ,10,,常盤知花,2,□,nan,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,2,0,2,0,0.0,1,1,0,100.0
2007-01-20,Befcoビービースターズ,チーム合計,チーム合計,チーム合計,3,nan,nan,nan,nan,nan,66,18,3,0.2727272727272727,0.22727272727272727,6.00,0,0,0,-,4,1.33,46,1,9,12,8.7,59,29,0,49.2
