試合日,チーム,相手チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2013-04-13,NECレッドロケッツ,岡山シーガルズ,1,,八幡美樹,2,□,■,nan,nan,nan,13,2,0,15.4,15.4,1.00,0,0,0,-,0,-,7,0,1,0,0.0,6,2,0,33.3,2
2013-04-13,NECレッドロケッツ,岡山シーガルズ,2,,杉山祥子,4,□,□,■,■,nan,31,9,3,29.0,19.4,2.25,0,0,0,-,1,0.25,4,0,0,2,12.5,2,0,0,0.0,10
2013-04-13,NECレッドロケッツ,岡山シーガルズ,3,,イエリズバシャ,3,□,□,nan,□,nan,11,3,1,27.3,18.2,1.00,6,1,1,16.7,0,-,3,0,0,0,0.0,0,0,0,-,3
2013-04-13,NECレッドロケッツ,岡山シーガルズ,4,,内田暁子,4,■,■,■,■,nan,36,15,2,41.7,36.1,3.75,5,0,0,0.0,1,0.25,12,0,1,7,14.6,29,18,0,62.1,16
2013-04-13,NECレッドロケッツ,岡山シーガルズ,5,,松浦麻琴,4,□,■,■,■,nan,0,0,0,,,-,0,0,0,-,1,0.25,9,0,0,5,13.9,1,0,0,0.0,1
2013-04-13,NECレッドロケッツ,岡山シーガルズ,6,,近江あかり,4,■,□,■,■,nan,27,6,0,22.2,22.2,1.50,1,0,0,0.0,1,0.25,9,0,1,1,2.8,19,11,0,57.9,7
2013-04-13,NECレッドロケッツ,岡山シーガルズ,7,,秋山美幸,3,■,nan,□,□,nan,2,0,0,0.0,0.0,-,0,0,0,-,0,-,3,0,0,0,0.0,0,0,0,-,0
2013-04-13,NECレッドロケッツ,岡山シーガルズ,8,,島村春世,2,■,■,nan,nan,nan,14,5,1,35.7,28.6,2.50,0,0,0,-,1,0.50,3,0,1,2,16.7,0,0,0,-,6
2013-04-13,NECレッドロケッツ,岡山シーガルズ,9,,白垣里紗,4,■,■,■,■,nan,37,6,4,16.2,5.4,1.50,12,3,0,25.0,1,0.25,15,1,1,2,8.7,1,1,0,100.0,8
2013-04-13,NECレッドロケッツ,岡山シーガルズ,10,L,滝口奈美,1,nan,●,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,1,1,0,100.0,0
2013-04-13,NECレッドロケッツ,岡山シーガルズ,11,,張紫音,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2013-04-13,NECレッドロケッツ,岡山シーガルズ,14,,金子早織,2,nan,nan,□,□,nan,0,0,0,,,-,0,0,0,-,0,-,2,0,0,0,0.0,0,0,0,-,0
2013-04-13,NECレッドロケッツ,岡山シーガルズ,15,,大野果奈,4,■,■,■,■,nan,21,8,1,38.1,33.3,2.00,0,0,0,-,2,0.50,13,0,0,1,1.9,0,0,0,-,10
2013-04-13,NECレッドロケッツ,岡山シーガルズ,16,L,鳥越未玖,4,●,●,●,●,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,28,17,0,60.7,0
2013-04-13,NECレッドロケッツ,岡山シーガルズ,チーム合計,チーム合計,チーム合計,4,nan,nan,nan,nan,nan,192,54,12,28.1,21.9,13.50,24,4,1,16.7,8,2.00,80,1,5,20,7.2,87,50,0,57.5,63
