試合日,チーム,相手チーム,得セット,失セット,勝敗,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点,被アタック打数,被アタック得点,被アタック失点,被アタック決定率,被ブロック得点,被ブロックセット平均,被サーブ効果率,被サーブレシーブ成功率
2012-11-17,東レアローズ,パイオニアレッドウィングス,3,2,1,1,,荒木絵里香,5,■,■,■,■,■,24,12,1,50.0,45.8,2.40,0,0,0,-,7,1.40,14,1,0,9,23.2,0,0,0,-,20,,,,,,,,
2012-11-17,東レアローズ,パイオニアレッドウィングス,3,2,1,2,L,濱口華菜里,5,●,●,●,●,●,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,16,10,0,62.5,0,,,,,,,,
2012-11-17,東レアローズ,パイオニアレッドウィングス,3,2,1,3,,中道瞳,5,■,■,■,■,■,1,1,0,100.0,100.0,0.20,0,0,0,-,0,-,15,1,0,7,18.3,0,0,0,-,2,,,,,,,,
2012-11-17,東レアローズ,パイオニアレッドウィングス,3,2,1,4,,高田ありさ,4,□,□,□,□,nan,0,0,0,,,-,0,0,0,-,0,-,9,0,0,4,11.1,9,4,0,44.4,0,,,,,,,,
2012-11-17,東レアローズ,パイオニアレッドウィングス,3,2,1,5,,和田麻里江,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0,,,,,,,,
2012-11-17,東レアローズ,パイオニアレッドウィングス,3,2,1,6,,迫田さおり,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0,,,,,,,,
2012-11-17,東レアローズ,パイオニアレッドウィングス,3,2,1,7,,エンライトステファニー,5,■,■,■,■,■,49,18,4,36.7,28.6,3.60,8,1,1,12.5,1,0.20,22,0,3,10,11.4,26,17,0,65.4,19,,,,,,,,
2012-11-17,東レアローズ,パイオニアレッドウィングス,3,2,1,8,,宮田由佳里,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0,,,,,,,,
2012-11-17,東レアローズ,パイオニアレッドウィングス,3,2,1,9,,小平花織,4,nan,□,□,■,■,27,8,5,29.6,11.1,2.00,4,2,2,50.0,1,0.25,8,2,0,2,26.2,13,9,0,69.2,11,,,,,,,,
2012-11-17,東レアローズ,パイオニアレッドウィングス,3,2,1,10,,峯村沙紀,5,■,■,■,■,■,56,15,2,26.8,23.2,3.00,4,0,0,0.0,0,-,13,1,0,6,19.2,23,14,0,60.9,16,,,,,,,,
2012-11-17,東レアローズ,パイオニアレッドウィングス,3,2,1,11,,田代佳奈美,3,nan,□,□,nan,□,0,0,0,,,-,0,0,0,-,0,-,2,1,0,0,50.0,0,0,0,-,1,,,,,,,,
2012-11-17,東レアローズ,パイオニアレッドウィングス,3,2,1,12,L,木村美里,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,1,1,0,100.0,0,,,,,,,,
2012-11-17,東レアローズ,パイオニアレッドウィングス,3,2,1,13,,堀川真理,4,■,■,■,nan,□,15,4,2,26.7,13.3,1.00,2,0,0,0.0,1,0.25,6,0,0,3,12.5,1,0,0,0.0,5,,,,,,,,
