名前,年月,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
オムルチェンイゴール,2016-03,豊田合成トレフェルサ,15,5,69,31,7,44.9,34.8,36,14,4,2,20,4,4,9,0,0,0,37,38.9,6.2,0.4,26.2,
ダンチアマラウ,2016-03,パナソニックパンサーズ,18,5,27,11,6,40.7,18.5,5,4,1,3,16,1,4,3,36,24,0,15,80.0,2.2,0.6,4.7,66.7
井上崇昭,2016-03,豊田合成トレフェルサ,8,1,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
今村貴彦,2016-03,パナソニックパンサーズ,9,3,9,4,1,44.4,33.3,0,0,0,1,8,0,1,3,5,1,0,5,,1.33,0.33,6.2,20.0
傳田亮太,2016-03,豊田合成トレフェルサ,22,5,8,3,1,37.5,25.0,0,0,0,3,14,0,4,2,0,0,0,6,,0.6,0.6,-3.6,
内山正平,2016-03,豊田合成トレフェルサ,4,5,0,0,0,,,0,0,0,2,14,0,2,1,0,0,0,2,,0.0,0.4,-1.8,
前田一誠,2016-03,豊田合成トレフェルサ,5,3,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
古賀幸一郎,2016-03,豊田合成トレフェルサ,10,5,0,0,0,,,0,0,0,0,0,0,0,0,28,20,0,0,,0.0,0.0,,71.4
合田心平,2016-03,パナソニックパンサーズ,19,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
専田和也,2016-03,パナソニックパンサーズ,12,3,0,0,0,,,0,0,0,0,0,0,0,0,2,1,0,0,,0.0,0.0,,50.0
山添信也,2016-03,パナソニックパンサーズ,3,5,10,4,0,40.0,40.0,0,0,0,4,14,3,3,3,0,0,0,11,,0.8,0.8,21.4,
山田脩造,2016-03,豊田合成トレフェルサ,1,2,5,2,0,40.0,40.0,0,0,0,1,3,0,0,2,4,2,0,3,,1.0,0.5,16.7,50.0
山近哲,2016-03,豊田合成トレフェルサ,2,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
岡本秀明,2016-03,豊田合成トレフェルサ,13,4,0,0,0,,,0,0,0,0,4,0,0,2,0,0,0,0,,0.0,0.0,12.5,
川口太一,2016-03,豊田合成トレフェルサ,20,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
永野健,2016-03,パナソニックパンサーズ,17,5,0,0,0,,,0,0,0,0,0,0,0,0,33,24,0,0,,0.0,0.0,,72.7
池田政之,2016-03,パナソニックパンサーズ,11,2,2,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
深津英臣,2016-03,パナソニックパンサーズ,2,5,0,0,0,,,0,0,0,1,18,0,1,10,0,0,0,1,,0.0,0.2,12.5,
清水邦広,2016-03,パナソニックパンサーズ,1,5,52,20,7,38.5,25.0,28,10,4,1,13,0,2,7,0,0,0,21,35.7,4.0,0.2,9.6,
渡辺奏吾,2016-03,パナソニックパンサーズ,5,3,13,5,2,38.5,23.1,0,0,0,0,7,0,4,0,10,2,0,5,,1.67,0.0,-14.3,20.0
田城貴之,2016-03,パナソニックパンサーズ,14,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
白岩直也,2016-03,豊田合成トレフェルサ,7,5,13,7,2,53.8,38.5,0,0,0,3,20,1,3,5,36,20,0,11,,1.4,0.6,7.5,55.6
白澤健児,2016-03,パナソニックパンサーズ,6,5,10,6,0,60.0,60.0,0,0,0,2,14,0,1,1,0,0,0,8,,1.2,0.4,0.0,
谷村孝,2016-03,パナソニックパンサーズ,8,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
近裕崇,2016-03,豊田合成トレフェルサ,6,5,5,2,1,40.0,20.0,0,0,0,2,17,0,4,4,0,0,0,4,,0.4,0.4,0.0,
重村健太,2016-03,豊田合成トレフェルサ,3,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
関田誠大,2016-03,パナソニックパンサーズ,13,5,0,0,0,,,0,0,0,0,9,0,1,4,0,0,0,0,,0.0,0.0,8.3,
高松卓矢,2016-03,豊田合成トレフェルサ,12,4,17,8,0,47.1,47.1,0,0,0,0,14,0,2,6,12,5,0,8,,2.0,0.0,7.1,41.7
