大会,チーム,出場,出場,アタック,アタック,アタック,アタック,バックアタック,バックアタック,バックアタック,バックアタック,アタック決定本数,ブロック,ブロック,サーブ,サーブ,サーブ,サーブ,サーブ,サーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,総得点,総得点,総得点,総得点
大会,チーム,試合数,セット数,打数,得点,失点,決定率,打数,得点,失点,決定率,セット平均,得点,セット平均,打数,ノータッチ,エース,失点,効果,効果率,受数,成功・優,成功・良,成功率,アタック,ブロック,サーブ,得点合計
2019-20 V.LEAGUE DIVISION1 MEN,FC東京,4,12,1,1,0,100.0,0,0,0,-,0.08,0,-,0,0,0,0,0,-,0,0,0,-,1,0,0,1
レギュラーラウンド,FC東京,4,12,1,1,0,100.0,0,0,0,-,0.08,0,-,0,0,0,0,0,-,0,0,0,-,1,0,0,1
V.LEAGUE DIVISION1 MEN 2018-19,FC東京,27,94,0,0,0,-,0,0,0,-,-,0,-,136,6,6,18,38,12.5,0,0,0,-,0,0,12,12
レギュラーラウンド,FC東京,27,94,0,0,0,-,0,0,0,-,-,0,-,136,6,6,18,38,12.5,0,0,0,-,0,0,12,12
Ｖ・プレミアリーグ男子 2017/18,FC東京,9,16,2,2,0,100.0,0,0,0,-,0.12,2,0.12,11,0,0,1,4,6.8,0,0,0,-,2,2,0,4
レギュラーラウンド,FC東京,9,16,2,2,0,100.0,0,0,0,-,0.12,2,0.12,11,0,0,1,4,6.8,0,0,0,-,2,2,0,4
Ｖ・プレミアリーグ男子 2016/17,堺ブレイザーズ,26,51,4,3,1,75.0,0,0,0,-,0.06,8,0.16,107,2,2,8,32,10.8,1,0,0,0.0,3,8,4,15
レギュラーラウンド,堺ブレイザーズ,21,43,4,3,1,75.0,0,0,0,-,0.07,7,0.16,99,2,2,7,29,11.0,1,0,0,0.0,3,7,4,14
ファイナル６,堺ブレイザーズ,5,8,0,0,0,-,0,0,0,-,-,1,0.12,8,0,0,1,3,9.4,0,0,0,-,0,1,0,1
Ｖ・プレミアリーグ男子 2015/16,FC東京,6,11,3,0,0,0.0,0,0,0,-,-,1,0.09,19,0,0,2,6,7.9,1,0,0,0.0,0,1,0,1
レギュラーラウンド,FC東京,6,11,3,0,0,0.0,0,0,0,-,-,1,0.09,19,0,0,2,6,7.9,1,0,0,0.0,0,1,0,1
Ｖ・プレミアリーグ男子 2014/15,FC東京,7,8,0,0,0,-,0,0,0,-,-,0,-,5,0,0,1,2,10.0,0,0,0,-,0,0,0,0
レギュラーラウンド,FC東京,7,8,0,0,0,-,0,0,0,-,-,0,-,5,0,0,1,2,10.0,0,0,0,-,0,0,0,0
レギュラーシーズン通算,,74,184,10,6,1,60.0,0,0,0,-,0.03,10,0.05,270,8,8,29,79,10.6,2,0,0,0.0,6,10,16,32
通算,,79,192,10,6,1,60.0,0,0,0,-,0.03,11,0.06,278,8,8,30,82,10.4,2,0,0,0.0,6,11,16,33
