大会,チーム,出場,出場,アタック,アタック,アタック,アタック,バックアタック,バックアタック,バックアタック,バックアタック,アタック決定本数,ブロック,ブロック,サーブ,サーブ,サーブ,サーブ,サーブ,サーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,総得点,総得点,総得点,総得点
大会,チーム,試合数,セット数,打数,得点,失点,決定率,打数,得点,失点,決定率,セット平均,得点,セット平均,打数,ノータッチ,エース,失点,効果,効果率,受数,成功・優,成功・良,成功率,アタック,ブロック,サーブ,得点合計
2019-20 V.LEAGUE DIVISION1 MEN,FC東京,27,68,181,91,15,50.3,0,0,0,-,1.34,34,0.5,181,2,1,35,37,1.9,17,6,7,55.9,91,34,3,128
レギュラーラウンド,FC東京,27,68,181,91,15,50.3,0,0,0,-,1.34,34,0.5,181,2,1,35,37,1.9,17,6,7,55.9,91,34,3,128
V.LEAGUE DIVISION1 MEN 2018-19,FC東京,25,82,285,159,22,55.8,0,0,0,-,1.94,28,0.34,243,5,2,33,71,6.8,14,6,4,57.1,159,28,7,194
レギュラーラウンド,FC東京,25,82,285,159,22,55.8,0,0,0,-,1.94,28,0.34,243,5,2,33,71,6.8,14,6,4,57.1,159,28,7,194
Ｖ・プレミアリーグ男子 2017/18,FC東京,18,64,202,119,11,58.9,1,0,0,0.0,1.86,14,0.22,233,0,3,26,57,4.6,21,10,7,64.3,119,14,3,136
レギュラーラウンド,FC東京,18,64,202,119,11,58.9,1,0,0,0.0,1.86,14,0.22,233,0,3,26,57,4.6,21,10,7,64.3,119,14,3,136
Ｖ・プレミアリーグ男子 2016/17,FC東京,21,66,206,122,8,59.2,0,0,0,-,1.85,16,0.24,203,1,5,48,48,8.4,11,6,0,54.5,122,16,6,144
レギュラーラウンド,FC東京,21,66,206,122,8,59.2,0,0,0,-,1.85,16,0.24,203,1,5,48,48,8.4,11,6,0,54.5,122,16,6,144
チャレンジマッチ男子2016/17,FC東京,2,7,21,12,0,57.1,0,0,0,-,1.71,4,0.57,27,0,2,2,6,11.5,4,1,0,25.0,12,4,2,18
チャレンジマッチ,FC東京,2,7,21,12,0,57.1,0,0,0,-,1.71,4,0.57,27,0,2,2,6,11.5,4,1,0,25.0,12,4,2,18
レギュラーシーズン通算,,91,280,874,491,56,56.2,1,0,0,0.0,1.75,92,0.33,860,8,11,142,213,4.3,63,28,18,58.7,491,92,19,602
通算,,93,287,895,503,56,56.2,1,0,0,0.0,1.75,96,0.33,887,8,13,144,219,4.5,67,29,18,56.7,503,96,21,620
