大会,チーム,出場,出場,アタック,アタック,アタック,アタック,バックアタック,バックアタック,バックアタック,バックアタック,アタック決定本数,ブロック,ブロック,サーブ,サーブ,サーブ,サーブ,サーブ,サーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,総得点,総得点,総得点,総得点
大会,チーム,試合数,セット数,打数,得点,失点,決定率,打数,得点,失点,決定率,セット平均,得点,セット平均,打数,ノータッチ,エース,失点,効果,効果率,受数,成功・優,成功・良,成功率,アタック,ブロック,サーブ,得点合計
2019-20 V.LEAGUE DIVISION1 MEN,東レアローズ,27,83,174,91,5,52.3,1,1,0,100.0,1.10,34,0.41,134,2,2,42,28,0.4,11,1,8,45.5,91,34,4,129
レギュラーラウンド,東レアローズ,27,83,174,91,5,52.3,1,1,0,100.0,1.10,34,0.41,134,2,2,42,28,0.4,11,1,8,45.5,91,34,4,129
V.LEAGUE DIVISION1 MEN 2018-19,東レアローズ,21,73,148,87,6,58.8,0,0,0,-,1.19,43,0.59,168,1,3,38,32,1.5,13,4,5,50.0,87,43,4,134
レギュラーラウンド,東レアローズ,14,44,97,59,3,60.8,0,0,0,-,1.34,24,0.55,100,0,3,28,26,2.5,11,3,5,50.0,59,24,3,86
ファイナル６,東レアローズ,5,20,31,20,3,64.5,0,0,0,-,1.00,13,0.65,43,0,0,7,4,-1.7,1,1,0,100.0,20,13,0,33
ファイナル３,東レアローズ,2,9,20,8,0,40.0,0,0,0,-,0.89,6,0.67,25,1,0,3,2,3.0,1,0,0,0.0,8,6,1,15
Ｖ・プレミアリーグ男子 2017/18,東レアローズ,11,30,30,20,2,66.7,0,0,0,-,0.67,2,0.07,21,0,1,11,3,-4.8,2,1,0,50.0,20,2,1,23
レギュラーラウンド,東レアローズ,7,20,30,20,2,66.7,0,0,0,-,1.00,2,0.10,21,0,1,11,3,-4.8,1,1,0,100.0,20,2,1,23
ファイナル６,東レアローズ,4,10,0,0,0,-,0,0,0,-,-,0,-,0,0,0,0,0,-,1,0,0,0.0,0,0,0,0
天皇杯全日本選手権大会,,1,3,0,0,0,-,0,0,0,-,-,0,-,5,0,0,2,0,-10.0,0,0,0,-,0,0,0,0
レギュラーラウンド,,1,3,0,0,0,-,0,0,0,-,-,0,-,5,0,0,2,0,-10.0,0,0,0,-,0,0,0,0
レギュラーシーズン通算,,48,147,301,170,10,56.5,1,1,0,100.0,1.16,60,0.41,255,2,6,81,57,0.8,23,5,13,50.0,170,60,8,238
通算,,60,189,352,198,13,56.2,1,1,0,100.0,1.05,79,0.42,328,3,6,93,63,0.5,26,6,13,48.1,198,79,9,286
