試合日,年月,チーム,相手チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2016-02-28,2016-02,ジェイテクトSTINGS,パナソニックパンサーズ,21,,廣瀬優希,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2016-02-28,2016-02,パナソニックパンサーズ,ジェイテクトSTINGS,1,,清水邦広,3,■,■,■,,,32,17,2,53.1,46.9,5.67,14,7,1,50.0,2,0.67,8,1,2,4,25.0,0,0,0,-,20
2016-02-28,2016-02,パナソニックパンサーズ,ジェイテクトSTINGS,2,,深津英臣,3,■,■,■,,,1,1,0,100.0,100.0,0.33,0,0,0,-,1,0.33,9,1,0,3,17.2,0,0,0,-,3
2016-02-28,2016-02,パナソニックパンサーズ,ジェイテクトSTINGS,3,,山添信也,3,■,■,■,,,3,2,0,66.7,66.7,0.67,0,0,0,-,0,-,16,2,2,3,15.9,0,0,0,-,4
2016-02-28,2016-02,パナソニックパンサーズ,ジェイテクトSTINGS,5,,渡辺奏吾,3,■,■,■,,,16,7,1,43.8,37.5,2.33,2,1,0,50.0,1,0.33,18,1,3,4,11.1,16,9,0,56.2,9
2016-02-28,2016-02,パナソニックパンサーズ,ジェイテクトSTINGS,6,,白澤健児,3,■,■,■,,,5,2,0,40.0,40.0,0.67,0,0,0,-,3,1.00,8,0,1,4,12.5,0,0,0,-,5
2016-02-28,2016-02,パナソニックパンサーズ,ジェイテクトSTINGS,8,,谷村孝,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2016-02-28,2016-02,パナソニックパンサーズ,ジェイテクトSTINGS,9,,今村貴彦,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2016-02-28,2016-02,パナソニックパンサーズ,ジェイテクトSTINGS,11,,池田政之,3,□,□,□,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2016-02-28,2016-02,パナソニックパンサーズ,ジェイテクトSTINGS,12,,専田和也,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2016-02-28,2016-02,パナソニックパンサーズ,ジェイテクトSTINGS,13,,関田誠大,1,,,□,,,0,0,0,,,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-,0
2016-02-28,2016-02,パナソニックパンサーズ,ジェイテクトSTINGS,14,,田城貴之,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2016-02-28,2016-02,パナソニックパンサーズ,ジェイテクトSTINGS,17,L,永野健,3,●,●,●,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,13,7,0,53.8,0
2016-02-28,2016-02,パナソニックパンサーズ,ジェイテクトSTINGS,18,,ダンチアマラウ,3,■,■,■,,,35,20,2,57.1,51.4,6.67,6,3,0,50.0,2,0.67,14,0,0,5,8.9,17,11,0,64.7,22
2016-02-28,2016-02,パナソニックパンサーズ,ジェイテクトSTINGS,19,L,合田心平,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
