試合日,チーム,相手チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2014-04-13,東レアローズ,堺ブレイザーズ,1,,富松崇彰,5,■,■,■,■,■,8,5,0,62.5,62.5,1.00,0,0,0,-,7,1.40,13,1,0,6,17.7,2,1,0,50.0,13
2014-04-13,東レアローズ,堺ブレイザーズ,2,L,田辺修,3,nan,nan,●,●,●,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,13,8,0,61.5,0
2014-04-13,東レアローズ,堺ブレイザーズ,4,,近藤茂,2,■,nan,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,0,0,0.0,1,0,0,0.0,0
2014-04-13,東レアローズ,堺ブレイザーズ,5,,米山裕太,5,■,■,■,■,■,35,15,4,42.9,31.4,3.00,5,2,2,40.0,1,0.20,23,1,1,6,10.9,40,27,0,67.5,17
2014-04-13,東レアローズ,堺ブレイザーズ,7,,相澤寿,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2014-04-13,東レアローズ,堺ブレイザーズ,8,,瀬戸口竜矢,2,nan,nan,nan,□,□,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,1,1,0,100.0,0
2014-04-13,東レアローズ,堺ブレイザーズ,11,,王金剛,5,□,■,■,■,■,4,2,2,50.0,0.0,0.40,0,0,0,-,0,-,12,0,1,7,14.6,0,0,0,-,2
2014-04-13,東レアローズ,堺ブレイザーズ,12,,ボヨビッチデヤン,5,■,■,■,■,■,50,23,1,46.0,44.0,4.60,20,10,0,50.0,1,0.20,12,0,3,4,8.3,0,0,0,-,24
2014-04-13,東レアローズ,堺ブレイザーズ,16,,角田辰徳,2,□,■,nan,nan,nan,9,2,0,22.2,22.2,1.00,2,1,0,50.0,0,-,5,1,1,1,25.0,6,0,0,0.0,3
2014-04-13,東レアローズ,堺ブレイザーズ,17,,篠田歩,5,■,■,□,■,■,5,0,1,0.0,-20.0,-,0,0,0,-,3,0.60,13,0,2,2,3.8,1,1,0,100.0,3
2014-04-13,東レアローズ,堺ブレイザーズ,18,,鈴木悠二,5,■,□,□,□,□,10,2,0,20.0,20.0,0.40,0,0,0,-,0,-,8,0,1,2,6.2,2,2,0,100.0,2
2014-04-13,東レアローズ,堺ブレイザーズ,19,,黒木康太郎,2,nan,□,■,nan,nan,1,1,0,100.0,100.0,0.50,0,0,0,-,0,-,3,0,1,1,8.3,0,0,0,-,1
2014-04-13,東レアローズ,堺ブレイザーズ,20,,大木貴之,4,nan,□,■,■,■,21,11,0,52.4,52.4,2.75,4,1,0,25.0,1,0.25,12,0,1,4,8.3,15,8,0,53.3,12
2014-04-13,東レアローズ,堺ブレイザーズ,22,L,井手智,3,●,●,●,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,16,10,0,62.5,0
2014-04-13,東レアローズ,堺ブレイザーズ,チーム合計,チーム合計,チーム合計,5,nan,nan,nan,nan,nan,143,61,8,42.7,37.1,12.20,31,14,2,45.2,13,2.60,102,3,11,33,10.8,97,58,0,59.8,77
